"x","y","class"
0.334914478543736,-0.000503294151963298,"1"
0.351419551898708,0.0231696764418558,"1"
0.32509035749237,0.0554209321935186,"1"
0.354678475175198,0.0797362841354018,"1"
0.369712352589658,0.108914488919712,"1"
0.349088207625373,0.137631165054973,"1"
0.334038856017594,0.165051702537944,"1"
0.323685192783178,0.192683687775921,"1"
0.326540168986442,0.225153755084717,"1"
0.335039119043987,0.263193433923623,"1"
0.292825063301156,0.278282566711142,"1"
0.282519379667745,0.309407105474973,"1"
0.244860225967805,0.321659618945648,"1"
0.250826533132321,0.36992922175417,"1"
0.237241318493944,0.406677118876285,"1"
0.211606573725915,0.433661439221213,"1"
0.173496638658199,0.444572069119287,"1"
0.115468857911698,0.417254152405126,"1"
0.105237571714468,0.47523612606685,"1"
0.0700320382421291,0.489262687363798,"1"
0.0290595448192315,0.485556810109035,"1"
-0.00563573292680513,0.504638254975644,"1"
-0.0467699181979088,0.49020231635856,"1"
-0.0836089322125762,0.524019852018262,"1"
-0.123982667640914,0.50389361160983,"1"
-0.161121485589818,0.476065910452907,"1"
-0.204155827181504,0.493566832187479,"1"
-0.253699841702196,0.517286464562178,"1"
-0.284407823819402,0.471653018070843,"1"
-0.33263337671178,0.474823292114352,"1"
-0.374667982927812,0.458300480648344,"1"
-0.403292442366354,0.418812942006365,"1"
-0.435266478254425,0.386952881209204,"1"
-0.467121465699013,0.355324845628717,"1"
-0.517790769776838,0.340850356770565,"1"
-0.520849230863266,0.282201930351793,"1"
-0.569553312682364,0.260231102440568,"1"
-0.585748638121748,0.214023959345791,"1"
-0.572176634052839,0.154608777276196,"1"
-0.606002471739405,0.118847537066583,"1"
-0.665754396843323,0.0870644898937495,"1"
-0.65675598711115,0.0324332014249232,"1"
-0.685047684910826,-0.0147046223348209,"1"
-0.711606197265873,-0.0659086317338452,"1"
-0.704225032858682,-0.12060727833665,"1"
-0.685029403328478,-0.173770151871424,"1"
-0.671712703175861,-0.226423337690203,"1"
-0.64901852808461,-0.276646801486869,"1"
-0.666938036017858,-0.339918150015495,"1"
-0.628202091503732,-0.385654442328136,"1"
-0.256239211084206,-0.330536545256858,"2"
-0.294024902014039,-0.316989351626612,"2"
0.696238219809361,0.120428913650188,"2"
-0.0668166979487407,-0.480548038323599,"2"
-0.297006592676291,-0.107537273591936,"2"
0.201991102600366,-0.482664541256765,"2"
0.463319126160998,-0.351173532086579,"2"
0.691191922350052,0.0670295776768372,"2"
-0.133095273686094,-0.448665531530582,"2"
0.645183886005791,0.275652762199276,"2"
-0.30738846953318,-0.0579892090090258,"2"
-0.31096752664549,-0.00711925738121617,"2"
0.709276673055064,0.176190061696387,"2"
-0.313195376965831,-0.289482606214383,"2"
0.610357235266077,0.377947927814121,"2"
0.124842617971738,-0.525670389334979,"2"
-0.155259425548157,-0.417362908218173,"2"
-0.0316756658373729,-0.4948403509228,"2"
0.416134104214664,-0.362494342196877,"2"
0.326049625076219,-0.460476376289604,"2"
0.29468236913997,-0.4996067127736,"2"
0.247201707155518,-0.494180975649458,"2"
0.652359186845567,0.222969999802814,"2"
0.407058115814191,-0.42448580575784,"2"
0.0451295746105221,-0.504108404151463,"2"
0.661378597888931,-0.03341532663027,"2"
-0.328047461017988,-0.193852198048072,"2"
-0.324026972610817,-0.22425841634143,"2"
-0.196470409874538,-0.414545878002478,"2"
-0.223445101882913,-0.344818777548308,"2"
0.547088779874141,-0.303159723358693,"2"
0.583543401322009,-0.269728322429218,"2"
0.0827649263455424,-0.545689846595103,"2"
-0.214133574777366,-0.381828677082677,"2"
0.344734853618076,-0.404554913412942,"2"
-0.37326507855848,-0.140059071862528,"2"
0.629216424033894,0.326969174363256,"2"
0.654943956417796,0.0187040055414003,"2"
-0.326704091227904,-0.259445610794832,"2"
0.167421093123096,-0.52930476367439,"2"
-0.344333370123699,-0.0803831151166088,"2"
0.611140317625061,-0.173020103561402,"2"
0.678739848733736,-0.0908923436266482,"2"
0.615058219780365,-0.122297773855051,"2"
0.596101456434606,-0.219936256130792,"2"
-0.337329866425922,-0.026409026695691,"2"
0.00686794760989916,-0.498432096951199,"2"
-0.330470009566585,-0.16439855395051,"2"
0.526330442104472,-0.348830983198425,"2"
-0.0914127982470845,-0.445278340893416,"2"
